Category,Relic Description,Effect,Stackable with self?,Notes
Stat,Vigor +1/2/3,Self-explanatory,Yes,+20 / +40 / +60 Max HP
Stat,Mind +1/2/3,Self-explanatory,Yes,+5 / +10 / +15 Max FP
Stat,Endurance +1/2/3,Self-explanatory,Yes,+2 / +4 / +6 Max Stamina
Stat,Strength/Dexterity/Intelligence/Faith/Arcane +1/2/3,Self-explanatory,Yes,3 Arc adds ~5.4% of base bleed
Stat,Poise +1/2/3,Reduces incoming poise damage by 0.95x/0.9x/0.85x,Yes,
Stat,Increased maximum HP/FP/Stamina,Increases vigor/mind/endurance by 5,No,"+100 Max HP / 25 Max FP / 10 Max Stamina. Exclusive to (Dark) Night of the Fathom, Wise, Champion respectively"
Stat,Improved [Status] Resistance,Increases specified status resistance by 75,Yes,
Stat,Max FP Up with 3+ Staves/Sacred Seals Equipped,Increases mind by 10 ,No,+50 Max FP
Stat,Max HP Up with 3+ Small/Medium/Greatshields Equipped,Increases vigor by 10,No,+200 Max HP
Start of game,Starting Weapon deals [element] Damage,Decreases starting weapon's physical AP by 30/40/50/60 and adds 33/44/55/66 elemental AP,No,"The amount of damage taken away and added depends on weapon type. Does not affect weapon scaling. Does not stack with ""Stating armament inflicts ""x"" status"""
Start of game,"Stating armament inflicts ""x"" status",Decreases starting weapon's damage by 0.85x and adds 25 (blood) or 35 (poison/frost) buildup,No,"Does not stack with ""Starting Weapon deals [element] Damage"""
Start of game,Change compatible armament skill to [xxx] at start of expedition,Self explanatory,No,
Start of game,[Consumable] in possession at start of expedition,Self explanatory,Yes,
Start of game,Small pouch in possession at start of expedition,Self explanatory,Yes,
Start of game,Stonesword in possession at start of expedition,Self explanatory,No,
Exploration,Flask Also Heals Allies,Heals allies for 50% of flask HP in a radius,No,Currently bugged; sometimes has a chance to not heal the wearer. Will not heal teammates in iframes.
Exploration,Item confer effect to all nearby allies,Self explanatory,No,
Exploration,Increase rune acquisition for self and allies,1.035x rune gain for self and allies,Yes,
Exploration,Critical Hits Earn Runes,Gain 600 runes on critical hits,No,
Exploration,Attack power permamently increased for each evergaol prisoner defeated,Increases damage by 1.05x per Evergaol boss,No,
Exploration,Max FP increased for each Sorcerer's Rise unlocked,Increases max FP by 1.18x for each Sorcerer's Rise unlocked,No,
Exploration,Attack power up after defeating a Night Invader,Increases damage by 1.07x per invader,No,
Exploration,(Huge) Rune discount for shop purchases while on expedition,Provides a 10/20% discount at merchants,No,"Different versions stack together. The same version does not stack with itself. ""Huge"" exclusive to Night of the Demon"
Exploration,Treasure marked upon map,Reveals hidden chest locations ,No,
Offensive,Taking attacks improves attack power,"15% damage buff after taking a hit, for 10s. Duration refresh when getting hit again. Does not work if blocked",No,
Offensive,Physical Attack Up +0/1/2,Increases physical damage by 1.04x/1.05x/1.06x,Yes,
Offensive,Improved Melee Attack Power,Increases all attack power by 1.05x. Affects both weapon and skills.,Yes,Exclusive to Will of the Balancers and Will of Balance
Offensive,Improved Skill Attack Power,Increases skill attack power by 1.15x,Yes,Exclusive to Will of the Balancers and Will of Balance
Offensive,Magic/Fire/Lightning/Holy Attack Up +0/1/2,Increases magic/fire/lightning/holy damage by 1.045x/1.055x/1.065x,Yes,
Offensive,Improved stance breaking when two handing,Increases poise damage by 1.05x when 2 handing the weapon,Yes,Does not apply to bows.
Offensive,Improved stance breaking while wielding two armaments,Increases poise damage by 1.05x when powerstancing (dual wielding 2 weapons of the same type),Yes,Can confirm applies to ground L1 attack and jump L1.
Offensive,Switching Weapons Adds an Affinity Attack,Adds 12 magic/fire/lightning/holy AP for 10 seconds,No,The element that is chosen is random. Exclusive to Night of the Lord.
Offensive,Boosts Attack Power of Added Affinity Attacks,Increases magic/fire/lightning/holy AP by 1.1x,Yes,"Rounds up. Exclusive to Night of the Lord, Golden Dew, and Dark Night of the Champion. Does not affect sorceries/incants. Works for any elemental damage on weapon, not just weapon buffs"
Offensive,Switching Weapons Boosts Attack Power,Increases physical damage by 1.1x for 10 seconds,No,Exclusive to Night of the Lord and Fell Omen Fetish. 
Offensive,Successive Attacks Boosts Attack Power,Increases damage by 1.06x / 1.17x / 1.345x on successive attacks,N/A,Exclusive to Glass Necklace
Offensive,Attack power increases after using grease items,Increases physical damage by 1.1x for 30 seconds,No,Same duration as grease
Offensive,Improved Initial Standard Attack,Increases the damage of the first light attack by 1.15x,Yes,Applies to 1H/2H R1 chain or paired weapon L1. Does not work for shield poke / rolling attack / jump attack
Offensive,Improved Guard Counters,Increases guard counter damage by 1.17x,Yes,
Offensive,Guard counter is given a boost based on current HP,"Damage boost varies linearly with % health remaining, but potency varies greatly between character, level and weapons.",No," Buff seems to scale off amount of HP, and is a flat amount per weapon type. Despite the confusing behaviour, this is an extremely potent buff for Guardian: ~30% buff at max level for commander's standard, and ~21.5% for Godfrey's Axe. For Raider, ~25.7% buff for commander's standard, and ~16.8% for Godfrey's Axe"
Offensive,Improved Critical Hits +0/1,Increases critical hit damage by 1.18x/1.23x,No,"Only applies to certain parts of critical hit. E.g. on collosal weapon, it only buffs the (stronger) second hit.
 +0 stack with +1, but +1 can not stack with itself. +1 exclusive to (Dark) Night of the Baron"
Offensive,Improved Throwing Pot/Knife/Stone/Perfuming Arts Damage,Increases pot/knife/stone/Perfuming Arts damage by 1.15x,Yes,
